# TIC Temperature[K] Metallicity Logg(CGS) u1 u2 
2.316639010000000000e+08 5.600000000000000000e+03 0.000000000000000000e+00 4.488510129999999876e+00 4.387178168750378582e-01 1.375052773986164545e-01
1.496035240000000000e+08 6.280000000000000000e+03 2.399999899999999964e-01 4.320919990000000155e+00 4.094548770915685809e-01 1.404481540214409518e-01
3.367326160000000000e+08 6.351000000000000000e+03 0.000000000000000000e+00 4.228960039999999587e+00 3.982477834595086197e-01 1.396964501809150327e-01
2.316703970000000000e+08 6.036000000000000000e+03 0.000000000000000000e+00 3.933589940000000063e+00 4.379802898826895552e-01 1.171143015977217094e-01
1.440658720000000000e+08 5.630000000000000000e+03 0.000000000000000000e+00 4.377590180000000331e+00 4.531117094579329985e-01 1.266365031390333240e-01
3.884651500000000000e+07 6.900000000000000000e+03 0.000000000000000000e+00 4.400000000000000355e+00 3.612912056130235250e-01 1.522495712642091825e-01
9.235262000000000000e+07 6.153000000000000000e+03 2.200000000000000011e-01 4.180769920000000361e+00 4.202725687589299319e-01 1.330502353515700675e-01
2.897930760000000000e+08 5.523000000000000000e+03 0.000000000000000000e+00 4.521920200000000278e+00 4.473229090480524972e-01 1.341043268321684412e-01
2.934493500000000000e+07 5.346000000000000000e+03 0.000000000000000000e+00 4.488230230000000098e+00 4.667044187430279267e-01 1.272075072210268332e-01
2.814596700000000000e+08 5.943000000000000000e+03 -1.000000000000000056e-01 4.425240040000000263e+00 4.147247747556044861e-01 1.467165646403748858e-01
3.557039130000000000e+08 5.380000000000000000e+03 0.000000000000000000e+00 4.433700080000000376e+00 4.779128949796440096e-01 1.195850903788857889e-01
3.881045250000000000e+08 5.650000000000000000e+03 0.000000000000000000e+00 4.288670060000000284e+00 4.514818203624458293e-01 1.249001138920353554e-01
9.740951900000000000e+07 6.050000000000000000e+03 0.000000000000000000e+00 4.450610160000000093e+00 3.932267022799847966e-01 1.556484749063087314e-01
2.515531000000000000e+07 5.800000000000000000e+03 -5.999999999999999778e-02 4.280039790000000011e+00 4.305344371107839851e-01 1.358581400551608642e-01
2.815415550000000000e+08 5.377000000000000000e+03 0.000000000000000000e+00 4.424759859999999989e+00 4.786608062870790214e-01 1.190662910602969665e-01
2.381761100000000000e+08 4.920000000000000000e+03 3.199999900000000119e-01 4.493710039999999850e+00 5.313677113936461360e-01 1.024170592423018222e-01
2.669803200000000000e+08 5.586000000000000000e+03 0.000000000000000000e+00 4.367630000000000123e+00 4.586294382231539402e-01 1.244191106837207461e-01
2.786838440000000000e+08 5.332000000000000000e+03 0.000000000000000000e+00 4.564290050000000321e+00 4.689426915621134340e-01 1.288984593265908030e-01
3.941375920000000000e+08 5.479299804690000201e+03 -2.000000000000000042e-02 3.769999980000000139e+00 4.762926188561668051e-01 1.026004067380548029e-01
2.070810580000000000e+08 6.053000000000000000e+03 0.000000000000000000e+00 4.313499929999999871e+00 4.141685140828249567e-01 1.413120393262166929e-01
2.317023970000000000e+08 3.318000000000000000e+03 0.000000000000000000e+00 4.958099840000000036e+00 3.014505562259713889e-01 3.014091992621967808e-01
2.901317780000000000e+08 6.188000000000000000e+03 0.000000000000000000e+00 4.271659849999999814e+00 4.060525371169338427e-01 1.409314118599435672e-01
2.983120800000000000e+07 5.080000000000000000e+03 0.000000000000000000e+00 4.481589790000000129e+00 4.901381551833055017e-01 1.202074208167304981e-01
5.236807600000000000e+07 5.154000000000000000e+03 0.000000000000000000e+00 4.470719810000000294e+00 4.828709501004774807e-01 1.222924929303933622e-01
7.044047000000000000e+07 5.751000000000000000e+03 0.000000000000000000e+00 4.350359919999999825e+00 4.398520491116051367e-01 1.322530648204327530e-01
2.345235990000000000e+08 3.424000000000000000e+03 0.000000000000000000e+00 4.400000000000000355e+00 3.397358589631007675e-01 2.994117621280308339e-01
3.919498800000000000e+08 6.086000000000000000e+03 0.000000000000000000e+00 4.262690069999999665e+00 4.126447237730837547e-01 1.392803975210591405e-01
2.012484110000000000e+08 4.486000000000000000e+03 0.000000000000000000e+00 4.499139790000000083e+00 5.652227042622338660e-01 8.822067577016212692e-02
2.630031760000000000e+08 6.295700195309999799e+03 0.000000000000000000e+00 4.400000000000000355e+00 3.964873268300587728e-01 1.481194713816657016e-01
2.350377610000000000e+08 4.174000000000000000e+03 0.000000000000000000e+00 4.341969970000000068e+00 5.605596867065172351e-01 9.682919271087392366e-02
8.902054900000000000e+07 5.673000000000000000e+03 0.000000000000000000e+00 4.553830149999999577e+00 4.336270141857322957e-01 1.408290846271540164e-01
2.193385570000000000e+08 4.028000000000000000e+03 0.000000000000000000e+00 4.559020040000000051e+00 4.197947745397676012e-01 2.128548581898197234e-01
2.349944740000000000e+08 3.794000000000000000e+03 0.000000000000000000e+00 4.678120139999999871e+00 3.194461893190683188e-01 2.957659050437733694e-01
2.672632530000000000e+08 6.888000000000000000e+03 0.000000000000000000e+00 4.234159949999999561e+00 1.000000000000000056e-01 1.000000000000000056e-01
4.101535530000000000e+08 3.043000000000000000e+03 0.000000000000000000e+00 5.097070219999999985e+00 3.509030499500466194e-01 3.466546523149197645e-01
1.769577960000000000e+08 4.651000000000000000e+03 0.000000000000000000e+00 4.569369789999999654e+00 5.531808823434309907e-01 9.425147313401667504e-02
2.776831300000000000e+08 5.722000000000000000e+03 0.000000000000000000e+00 4.355820180000000263e+00 4.426898346265089046e-01 1.314329733797842958e-01
6.248323700000000000e+07 4.356000000000000000e+03 0.000000000000000000e+00 4.534910199999999669e+00 5.573325212285848984e-01 1.028620429951415671e-01
